date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:57:10	701135307/701135307	---M--	200	added ('OK')	application/octet-stream-unknown	etag:%2229ca79cb-577bc2990bec2%22	https://makeabilitylab.cs.washington.edu/media/talks/Froehlich_OverviewTalk_v1-20Mins.pptx	C:/My%20Web%20Sites/test/makeabilitylab.cs.washington.edu/media/talks/Froehlich_OverviewTalk_v1-20Mins.pptx	(from https://makeabilitylab.cs.washington.edu/talks/)
18:57:10	18670/18670	---M--	200	added ('OK')	image/jpeg	etag:%2248ee-55187a9842d80%22	https://makeabilitylab.cs.washington.edu/media/talks/images/Froehlich_MakingSTEM_v2.9_PostTalkEdits.jpg.420x0_q85_detail.jpg	C:/My%20Web%20Sites/test/makeabilitylab.cs.washington.edu/media/talks/images/Froehlich_MakingSTEM_v2.9_PostTalkEdits.jpg.420x0_q85_detail.jpg	(from https://makeabilitylab.cs.washington.edu/talks/)
18:58:30	27605496/27605496	---M--	200	added ('OK')	application/pdf	etag:%221a539f8-55187a6c64600%22	https://makeabilitylab.cs.washington.edu/media/talks/Froehlich_MakingSTEM_v2.9_PostTalkEdits.pdf	C:/My%20Web%20Sites/test/makeabilitylab.cs.washington.edu/media/talks/Froehlich_MakingSTEM_v2.9_PostTalkEdits.pdf	(from https://makeabilitylab.cs.washington.edu/talks/)
18:58:57	4232878/4232878	---M--	200	added ('OK')	application/pdf	etag:%224096ae-54a508a702e00%22	https://makeabilitylab.cs.washington.edu/media/talks/MakerWear_DesignFieldNotes_reducedSize2.pdf	C:/My%20Web%20Sites/test/makeabilitylab.cs.washington.edu/media/talks/MakerWear_DesignFieldNotes_reducedSize2.pdf	(from https://makeabilitylab.cs.washington.edu/talks/)
18:58:57	33858/33858	---M--	200	added ('OK')	image/jpeg	etag:%228442-54a508b645200%22	https://makeabilitylab.cs.washington.edu/media/talks/images/MakerWear_DesignFieldNotes_reducedSize2.jpg.420x0_q85_detail.jpg	C:/My%20Web%20Sites/test/makeabilitylab.cs.washington.edu/media/talks/images/MakerWear_DesignFieldNotes_reducedSize2.jpg.420x0_q85_detail.jpg	(from https://makeabilitylab.cs.washington.edu/talks/)
19:03:08	40435593/40435593	---M--	200	added ('OK')	application/pdf	etag:%22268ff89-5482117532980%22	https://makeabilitylab.cs.washington.edu/media/talks/SidewalkWalkHackNight_ManaswiSaha_PDF.pdf	C:/My%20Web%20Sites/test/makeabilitylab.cs.washington.edu/media/talks/SidewalkWalkHackNight_ManaswiSaha_PDF.pdf	(from https://makeabilitylab.cs.washington.edu/talks/)
19:03:09	34855/34855	---M--	200	added ('OK')	image/jpeg	etag:%228827-5482121d0b580%22	https://makeabilitylab.cs.washington.edu/media/talks/images/SidewalkWalkHackNight_ManaswiSaha_PDF.jpg.420x0_q85_detail.jpg	C:/My%20Web%20Sites/test/makeabilitylab.cs.washington.edu/media/talks/images/SidewalkWalkHackNight_ManaswiSaha_PDF.jpg.420x0_q85_detail.jpg	(from https://makeabilitylab.cs.washington.edu/talks/)
19:05:35	23352366/23352366	---M--	200	added ('OK')	application/pdf	etag:%22164542e-540d3ac447d00%22	https://makeabilitylab.cs.washington.edu/media/talks/InteractiveComputionalToolsForAccessibility_DiversityInComputingSummit2016_reducedsize.pdf	C:/My%20Web%20Sites/test/makeabilitylab.cs.washington.edu/media/talks/InteractiveComputionalToolsForAccessibility_DiversityInComputingSummit2016_reducedsize.pdf	(from https://makeabilitylab.cs.washington.edu/talks/)
19:05:35	23081/23081	---M--	200	added ('OK')	image/jpeg	etag:%225a29-543a4e6d57680%22	https://makeabilitylab.cs.washington.edu/media/talks/images/InteractiveComputionalToolsForAccessibility_DiversityInComputingSummit2016_reducedsize.jpg.420x0_q85_detail.jpg	C:/My%20Web%20Sites/test/makeabilitylab.cs.washington.edu/media/talks/images/InteractiveComputionalToolsForAccessibility_DiversityInComputingSummit2016_reducedsize.jpg.420x0_q85_detail.jpg	(from https://makeabilitylab.cs.washington.edu/talks/)
19:07:02	13887449/13887449	---M--	200	added ('OK')	application/pdf	etag:%22d3e7d9-540ec09e4c380%22	https://makeabilitylab.cs.washington.edu/media/talks/Hara_HCOMPGroupSight2016.pdf	C:/My%20Web%20Sites/test/makeabilitylab.cs.washington.edu/media/talks/Hara_HCOMPGroupSight2016.pdf	(from https://makeabilitylab.cs.washington.edu/talks/)
